TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
    42       3   1.19853379e-05   1.59559022e-02  
    42       4   3.89310972e-07   1.17810143e-03  
    43       1   2.35183308e-02   5.04638521e+00  
    43       2   1.21164571e-04   7.69982107e-01  
    43       3   6.08975949e-06   3.89626394e-03  
    44       1   2.28199414e-02   6.06729138e+00  
    44       2   1.81437650e-04   9.32042717e-01  
    44       3   9.66818549e-06   7.77871213e-02  
    44       4   8.33862690e-07   4.31014838e-03  
    45       1   2.41765624e-02   5.83661873e+00  
    45       2   1.86714143e-04   4.36321129e-01  
    45       3   8.98187723e-06   1.06632906e-02  
    45       4   1.31025098e-06   2.98005400e-03  
    46       1   2.09607223e-02   4.53541639e+00  
    46       2   2.48244898e-04   7.95394386e-01  
    46       3   1.25062262e-05   2.98433557e-02  
    46       4   7.53895932e-07   1.94013875e-03  
    47       1   2.24087325e-02   5.69838290e+00  
    47       2   9.27171690e-05   8.94761576e-01  
    47       3   6.24668140e-06   1.01783062e-01  
    47       4   1.11316523e-06   2.22012217e-03  
    48       1   2.12301709e-02   5.91992497e+00  
    48       2   9.11549298e-05   6.69105770e-01  
    48       3   5.43693189e-06   1.02449297e-02  
    48       4   2.94745711e-07   6.12492378e-04  
    49       1   2.09350110e-02   5.30736400e+00  
    49       2   2.18750115e-04   5.25484589e-01  
    49       3   8.71034674e-06   2.90673425e-02  
    49       4   3.74591866e-07   2.94827800e-04  
    50       1   2.02671371e-02   5.77192810e+00  
    50       2   7.95647676e-05   3.46836148e-01  
    50       3   6.97634264e-06   1.06104581e-02  
    50       4   5.21607951e-07   5.17432180e-04  
    51       1   2.03514885e-02   5.31702322e+00  
    51       2   1.37047462e-04   2.41205372e-01  
    51       3   7.51728551e-06   5.92843530e-03  
    51       4   4.84804055e-07   7.67659690e-04  
    52       1   1.96433851e-02   6.01761212e+00  
    52       2   1.30264155e-04   6.74245782e-01  
    52       3   7.38753485e-06   5.17600207e-02  
    52       4   1.17450157e-06   7.66032972e-04  
    53       1   1.98399683e-02   5.98574390e+00  
    53       2   1.39305396e-04   9.08925190e-01  
    53       3   4.49889499e-06   6.73151611e-03  
    53       4   3.21222764e-07   1.18403780e-03  
    54       1   1.84501913e-02   5.25273712e+00  
    54       2   2.61271414e-04   8.11268672e-01  
    54       3   1.37602002e-05   5.06205565e-02  
    54       4   7.68064480e-07   4.50857270e-03  
    55       1   1.94447890e-02   5.00278881e+00  
    55       2   1.48912232e-04   1.37706181e+00  
    55       3   9.51308915e-06   1.04277458e-02  
    55       4   8.81199522e-07   3.90775132e-03  
    56       1   1.80889105e-02   4.19345819e+00  
    56       2   8.04942155e-05   5.10841156e-01  
    56       3   2.21580013e-06   2.92090439e-03  
    57       1   1.93033109e-02   4.23665042e+00  
    57       2   6.15480335e-05   3.23211026e-01  
    57       3   2.61192863e-06   1.27093515e-02  
    57       4   2.76259149e-07   1.02290963e-03  
    58       1   1.75453129e-02   3.95425383e+00  
    58       2   8.24990976e-05   7.84604749e-01  
    58       3   1.14364210e-05   1.06189630e-02  
    58       4   7.26042506e-07   3.10786189e-03  
    59       1   1.86106755e-02   4.60017695e+00  
    59       2   4.54817836e-05   2.55691539e-01  
    59       3   2.73848330e-06   2.14089550e-03  
    60       1   1.74481237e-02   4.53788745e+00  
    60       2   1.03956386e-04   4.58298858e-01  
    60       3   6.33427555e-06   8.61705145e-02  
    60       4   8.60974765e-07   2.14844547e-03  
    61       1   1.82856369e-02   5.47626220e+00  
    61       2   7.42284474e-05   1.35600266e-01  
    61       3   4.06006057e-06   4.25513944e-02  
    61       4   4.84509420e-07   2.37723686e-03  
    62       1   1.75759602e-02   5.30774915e+00  
    62       2   5.44757652e-05   4.35595037e-01  
    62       3   5.23957916e-06   1.30428137e-02  
    62       4   5.01276917e-07   1.73452158e-04  
    63       1   1.74879042e-02   6.07525002e+00  
    63       2   5.57845066e-05   7.43348700e-01  
    63       3   5.66787951e-06   1.93999697e-02  
    63       4   3.79244189e-07   1.17078473e-03  
    64       1   1.75586582e-02   6.03278375e+00  
    64       2   1.21750169e-04   9.50915784e-01  
    64       3   3.30475275e-06   8.01056996e-03  
